Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
18-02-2022,40552.13281,40929.15234,39637.61719,40030.97656,40030.97656,23310007704.00,43937.07031,44132.97266,40249.37109
19-02-2022,40026.02344,40418.87891,39713.05859,40122.15625,40122.15625,13736557863.00,40552.13281,40929.15234,39637.61719
20-02-2022,40118.10156,40119.89063,38112.8125,38431.37891,38431.37891,18340576452.00,40026.02344,40418.87891,39713.05859
21-02-2022,38423.21094,39394.4375,36950.47656,37075.28125,37075.28125,29280402798.00,40118.10156,40119.89063,38112.8125
22-02-2022,37068.76953,38359.85547,36488.93359,38286.02734,38286.02734,25493150450.00,38423.21094,39394.4375,36950.47656
23-02-2022,38285.28125,39122.39453,37201.81641,37296.57031,37296.57031,21849073843.00,37068.76953,38359.85547,36488.93359
24-02-2022,37278.56641,38968.83984,34459.21875,38332.60938,38332.60938,46383802093.00,38285.28125,39122.39453,37201.81641
25-02-2022,38333.74609,39630.32422,38111.34375,39214.21875,39214.21875,26545599159.00,37278.56641,38968.83984,34459.21875
26-02-2022,39213.08203,40005.34766,38702.53516,39105.14844,39105.14844,17467554129.00,38333.74609,39630.32422,38111.34375
27-02-2022,39098.69922,39778.94141,37268.97656,37709.78516,37709.78516,23450127612.00,39213.08203,40005.34766,38702.53516
28-02-2022,37706,43760.45703,37518.21484,43193.23438,43193.23438,35690014104.00,39098.69922,39778.94141,37268.97656
01-03-2022,43194.50391,44793.60156,42952.58594,44354.63672,44354.63672,32479047645.00,37706,43760.45703,37518.21484
02-03-2022,44357.61719,45077.57813,43432.85156,43924.11719,43924.11719,29183112630.00,43194.50391,44793.60156,42952.58594
03-03-2022,43925.19531,44021.57813,41914.75,42451.78906,42451.78906,24967782593.00,44357.61719,45077.57813,43432.85156
04-03-2022,42458.14063,42479.61328,38805.84766,39137.60547,39137.60547,28516271427.00,43925.19531,44021.57813,41914.75
05-03-2022,39148.44922,39566.33594,38777.03516,39400.58594,39400.58594,16975917450.00,42458.14063,42479.61328,38805.84766
06-03-2022,39404.19922,39640.17578,38211.64844,38419.98438,38419.98438,19745229902.00,39148.44922,39566.33594,38777.03516
07-03-2022,38429.30469,39430.22656,37260.20313,38062.03906,38062.03906,28546143503.00,39404.19922,39640.17578,38211.64844
08-03-2022,38059.90234,39304.44141,37957.38672,38737.26953,38737.26953,25776583476.00,38429.30469,39430.22656,37260.20313
